votu,taxa,consensus_domain,sub_domain_consensus
4Wh2oV_0h_scaffold_1659697,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1659737,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryobacterium",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1662701,"Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas albilineans",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_166323,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1663690,"Bacteria,PVC group,Chlamydiae,Chlamydiia,Parachlamydiales,Waddliaceae,Waddlia,Waddlia chondrophila",Bacteria,Chlamydiae
4Wh2oV_0h_scaffold_1663708,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium elkanii",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1664233,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ambofaciens",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_166486,"Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Metakosakonia,unclassified Metakosakonia",Bacteria,Gammaproteobacteria
4Wh2oV_0h_scaffold_1665205,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,unclassified Mesorhizobium",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1665447,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella",Bacteria,Alphaproteobacteria
4Wh2oV_0h_scaffold_1665719,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Micromonosporales,Micromonosporaceae,Catellatospora,unclassified Catellatospora",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1665782,"Bacteria,Terrabacteria group,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Methylomusa",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1665873,"Bacteria,Terrabacteria group,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinobaculum,unclassified Actinobaculum",Bacteria,Actinobacteria
4Wh2oV_0h_scaffold_1665995,"Bacteria,PVC group,Planctomycetes,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila",Bacteria,Planctomycetes
4Wh2oV_0h_scaffold_1666464,"Bacteria,Terrabacteria group,Firmicutes,Clostridia,Eubacteriales,Eubacteriales incertae sedis,Clostridiales Family XVII. Incertae Sedis,Thermaerobacter,unclassified Thermaerobacter",Bacteria,Firmicutes
4Wh2oV_0h_scaffold_1666671,"Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,Brucella",Bacteria,Alphaproteobacteria
